,date,city,sales,onpromotion
0,2013-01-01,Antofagasta,13181.474609375,0
1,2013-01-01,Arica,6590.7373046875,0
2,2013-01-01,Calama,6590.7373046875,0
3,2013-01-01,Chillan,13181.474609375,0
4,2013-01-01,Concepcion,52725.8984375,0
5,2013-01-01,Copiapo,6590.7373046875,0
6,2013-01-01,Coquimbo,6590.7373046875,0
7,2013-01-01,Coyhaique,6590.7373046875,0
8,2013-01-01,Curico,6590.7373046875,0
9,2013-01-01,Iquique,6590.7373046875,0
10,2013-01-01,La Serena,13181.474609375,0
11,2013-01-01,Linares,6590.7373046875,0
12,2013-01-01,Los Angeles,6590.7373046875,0
13,2013-01-01,Osorno,6590.7373046875,0
14,2013-01-01,Puerto Montt,13181.474609375,0
15,2013-01-01,Punta Arenas,6590.7373046875,0
16,2013-01-01,Rancagua,6590.7373046875,0
17,2013-01-01,Santiago,118633.271484375,0
18,2013-01-01,Talca,6590.7373046875,0
19,2013-01-01,Temuco,19772.2119140625,0
20,2013-01-01,Valdivia,6590.7373046875,0
21,2013-01-01,Valparaiso-Vina del mar,19772.2119140625,0
22,2013-01-02,Antofagasta,23136.4697265625,0
23,2013-01-02,Arica,6054.3349609375,0
24,2013-01-02,Calama,5615.38916015625,0
25,2013-01-02,Chillan,0.0,0
26,2013-01-02,Concepcion,49797.4423828125,0
27,2013-01-02,Copiapo,6577.80517578125,0
28,2013-01-02,Coquimbo,6637.56005859375,0
29,2013-01-02,Coyhaique,0.0,0
30,2013-01-02,Curico,5316.22412109375,0
31,2013-01-02,Iquique,0.0,0
32,2013-01-02,La Serena,10170.84716796875,0
33,2013-01-02,Linares,2978.22412109375,0
34,2013-01-02,Los Angeles,5720.77099609375,0
35,2013-01-02,Osorno,18329.638671875,0
36,2013-01-02,Puerto Montt,11371.34814453125,0
37,2013-01-02,Punta Arenas,4973.28515625,0
38,2013-01-02,Rancagua,7207.546875,0
39,2013-01-02,Santiago,277399.3740234375,0
40,2013-01-02,Talca,9198.5068359375,0
41,2013-01-02,Temuco,16841.19091796875,0
42,2013-01-02,Valdivia,7698.2529296875,0
43,2013-01-02,Valparaiso-Vina del mar,21068.2099609375,0
44,2013-01-03,Antofagasta,15977.6689453125,0
45,2013-01-03,Arica,5206.77880859375,0
46,2013-01-03,Calama,3783.0869140625,0
47,2013-01-03,Chillan,0.0,0
48,2013-01-03,Concepcion,40250.896240234375,0
49,2013-01-03,Copiapo,5691.44677734375,0
50,2013-01-03,Coquimbo,5437.826171875,0
51,2013-01-03,Coyhaique,0.0,0
52,2013-01-03,Curico,4442.9130859375,0
53,2013-01-03,Iquique,0.0,0
54,2013-01-03,La Serena,8183.945068359375,0
55,2013-01-03,Linares,2699.277099609375,0
56,2013-01-03,Los Angeles,5167.40185546875,0
57,2013-01-03,Osorno,12356.205078125,0
58,2013-01-03,Puerto Montt,9312.60302734375,0
59,2013-01-03,Punta Arenas,3901.570068359375,0
60,2013-01-03,Rancagua,4387.56591796875,0
61,2013-01-03,Santiago,191233.36376953125,0
62,2013-01-03,Talca,7860.6171875,0
63,2013-01-03,Temuco,13087.38330078125,0
64,2013-01-03,Valdivia,6158.576171875,0
65,2013-01-03,Valparaiso-Vina del mar,16322.1064453125,0
66,2013-01-04,Antofagasta,17767.9677734375,0
67,2013-01-04,Arica,5499.7041015625,0
68,2013-01-04,Calama,3233.5029296875,0
